,url_name,full_name,name,lat,long
0,/wiki/Tha_Phra_MRT_station,Tha Phra MRT station,Tha Phra,13.72938,100.47421
1,/wiki/Charan_13_MRT_station,Charan 13 MRT station,Charan 13,13.740196,100.470682
2,/wiki/Fai_Chai_MRT_station,Fai Chai MRT station,Fai Chai,13.7557,100.4693
3,/wiki/Bang_Khun_Non_MRT_station,Bang Khun Non MRT station,Bang Khun Non,13.7633,100.4732
4,/wiki/Bang_Yi_Khan_MRT_station,Bang Yi Khan MRT station,Bang Yi Khan,13.777305,100.485226
5,/wiki/Sirindhorn_MRT_station,Sirindhorn MRT station,Sirindhorn,13.783797,100.493356
6,/wiki/Bang_Phlat_MRT_station,Bang Phlat MRT station,Bang Phlat,13.7925,100.5049
7,/wiki/Bang_O_MRT_station,Bang O MRT station,Bang O,13.7989,100.5097
8,/wiki/Bang_Pho_MRT_station,Bang Pho MRT station,Bang Pho,13.8064,100.5209
9,/wiki/Tao_Poon_MRT_station,Tao Poon MRT station,Tao Poon,13.8062,100.5308
10,/wiki/Bang_Sue_MRT_station,Bang Sue MRT station,Bang Sue,13.802431,100.540933
11,/wiki/Kamphaeng_Phet_MRT_station,Kamphaeng Phet MRT station,Kamphaeng Phet,13.797693,100.548361
12,/wiki/Chatuchak_Park_MRT_station,Chatuchak Park MRT station,Chatuchak Park,13.8027,100.554
13,/wiki/Phahon_Yothin_MRT_station,Phahon Yothin MRT station,Phahon Yothin,13.8129,100.562
14,/wiki/Lat_Phrao_MRT_station,Lat Phrao MRT station,Lat Phrao,13.8064,100.573
15,/wiki/Ratchadaphisek_MRT_station,Ratchadaphisek MRT station,Ratchadaphisek,13.7991,100.575
16,/wiki/Sutthisan_MRT_station,Sutthisan MRT station,Sutthisan,13.79,100.574
17,/wiki/Huai_Khwang_MRT_station,Huai Khwang MRT station,Huai Khwang,13.7786,100.574
18,/wiki/Thailand_Cultural_Centre_MRT_station,Thailand Cultural Centre MRT station,Thailand Cultural Centre,13.7661,100.57
19,/wiki/Phra_Ram_9_MRT_station,Phra Ram 9 MRT station,Phra Ram 9,13.75722,100.56528
20,/wiki/Phetchaburi_MRT_station,Phetchaburi MRT station,Phetchaburi,13.7491,100.563
21,/wiki/Sukhumvit_MRT_station,Sukhumvit MRT station,Sukhumvit,13.738524,100.561446
22,/wiki/Queen_Sirikit_National_Convention_Centre_MRT_station,Queen Sirikit National Convention Centre MRT station,Queen Sirikit National Convention Centre,13.7231,100.56
23,/wiki/Khlong_Toei_MRT_station,Khlong Toei MRT station,Khlong Toei,13.7224,100.554
24,/wiki/Lumphini_MRT_station,Lumphini MRT station,Lumphini,13.7256,100.546
25,/wiki/Si_Lom_MRT_station,Si Lom MRT station,Si Lom,13.7292,100.5375
26,/wiki/Sam_Yan_MRT_station,Sam Yan MRT station,Sam Yan,0.0,0.0
27,/wiki/Hua_Lamphong_MRT_station,Hua Lamphong MRT station,Hua Lamphong,13.7373,100.518
28,/wiki/Wat_Mangkon_MRT_station,Wat Mangkon MRT station,Wat Mangkon,13.742625,100.5067333
29,/wiki/Sam_Yot_MRT_station,Sam Yot MRT station,Sam Yot,13.74725,100.501333
30,/wiki/Sanam_Chai_MRT_station,Sanam Chai MRT station,Sanam Chai,0.0,0.0
31,/wiki/Itsaraphap_MRT_station,Itsaraphap MRT station,Itsaraphap,13.738417,100.485306
32,/wiki/Tha_Phra_MRT_station,Tha Phra MRT station,Tha Phra,13.72938,100.47421
33,/wiki/Bang_Phai_MRT_station,Bang Phai MRT station,Bang Phai,13.7245667,100.46472
34,/wiki/Bang_Wa_MRT_station,Bang Wa MRT station,Bang Wa,13.720625,100.4578694
35,/wiki/Phetkasem_48_MRT_station,Phetkasem 48 MRT station,Phetkasem 48,13.715528,100.445472
36,/wiki/Phasi_Charoen_MRT_station,Phasi Charoen MRT station,Phasi Charoen,13.712917,100.435194
37,/wiki/Bang_Khae_MRT_station,Bang Khae MRT station,Bang Khae,13.712083,100.422861
